n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10,383,254.838,205,205.75,239,297.25,793
12,269,179.555,148,152.5,187,210.25,576
14,275,158.071,165,165.75,195,224.5,536
16,481.4,278.416,224,227.75,417,486.25,843
18,864.8,1040.39,273,303.75,424,468.25,2712
20,365.6,128.087,257,275.75,317,337.25,574
