n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10,670.8,407.579,291,311.25,578,666.25,1236
12,1192,754.519,676,705.25,826,936.75,2474
14,1408.8,784.384,926,931.25,1006,1108,2765
16,1727,891.304,1176,1250.25,1307,1374.75,3299
18,2146,850.251,1544,1621.25,1880,1917.75,3628
20,2631.8,1043.08,1915,1987.75,2264,2327.5,4450
