n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10,6999.4,2008.93,4756,5436.25,6527,6984.75,9693
12,10141.2,1541.53,9025,9219.25,9746,9763.25,12836
14,13934.4,2613.37,10435,12584.5,13796,13948.8,17733
16,17235.8,3196.71,14559,14936.2,15514,16394.2,22009
18,22931.4,1444.64,21277,22011.2,22432,22742.5,25018
20,29520.2,3389.53,23945,28348.2,29933,30143.8,33131
