n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10,1896.4,495.146,1430,1442.75,1810,1916.75,2558
12,2621.6,342.755,2259,2264.25,2727,2757,3009
14,3186.8,538.048,2512,2812.75,3166,3222.25,3952
16,4342.6,480.457,3906,4024.5,4179,4242.75,5130
18,5356.2,775.16,4540,4699,5259,5391.75,6440
20,7863.4,706.807,7201,7225.75,7962,7969,8930
