n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10,1176.8,487.601,490,849.25,1139,1264,1647
12,1537,353.238,1098,1294.5,1430,1538.75,1932
14,1683.2,738.187,980,1115.75,1312,1602.25,2490
16,1933,788.605,1281,1389,1511,1706,3157
18,2519.8,806.84,1706,1893.5,2250,2445.5,3655
20,3291.2,860.469,2480,2545.25,3034,3264.75,4418
